Income_2019,Income_2020,Percent_Change_2020,Per_Capita_Exp_ESRD,Avg_Risk_Score_ESRD,Person_Years_ESRD,Per_Capita_Exp_DIS,Avg_Risk_Score_DIS,Person_Years_DIS,Per_Capita_Exp_AGDU,Avg_Risk_Score_AGDU,Person_Years_AGDU,Per_Capita_Exp_AGND,Avg_Risk_Score_AGND,Person_Years_AGND
"31,670","34,888",10.2,62105.99,0.9016,54,8954.53,0.91489,284.67,16229.16,0.92135,151.25,8310.83,0.98857,995.25
"53,160","56,499",6.3,75365.88,0.96044,377.92,9986.99,0.93839,3850.33,16847.34,0.90145,1399.83,9554.31,1.00384,28551.5
"39,394","43,596",10.7,71995.38,0.88128,54.17,7729.76,0.79142,748.83,15104.4,0.8859,413.42,10525.74,1.01526,1593.33
"33,714","36,927",9.5,70795.54,0.8833,20.42,9859.07,0.85431,969.58,14973.46,0.84082,491.92,10253.6,1.00644,2892.33
"37,819","40,676",7.6,76483.93,0.99255,79.08,10570.87,0.9528,2054.5,14820.49,0.90982,1039,9743.54,1.04934,7951.67
"39,453","42,837",8.6,69064.44,0.9282,503.25,9144.75,0.9206,4660.25,15980.72,0.93875,1449.08,10312.42,1.04933,18379.83
"35,416","39,339",11.1,66084.53,0.89111,38.67,8576.13,0.77271,547.42,16347.76,0.85767,287.67,9640.22,0.93417,1495.75
"43,593","47,054",7.9,73397.5,0.97621,339.92,9441.69,0.89044,2393.08,14071.27,0.88682,873.25,9151.35,0.99828,11182.75
"40,831","44,204",8.3,72099.11,1.03616,131.92,9533.91,0.9298,2296.92,15670.01,0.92287,1011.58,9758.76,1.01996,10264.75
"32,885","37,160",13.0,81245.79,0.97917,30.83,7133.83,0.83732,347.83,13544.5,0.91351,287.75,7851.26,1.05864,500.5
"35,986","38,631",7.4,76830.68,0.92508,50.25,9394.05,0.86601,740.83,16225.78,0.89242,415.17,10245.92,1.01207,1759
"37,580","40,730",8.4,69294.55,0.91279,45.08,8015.54,0.87291,568.25,15324.46,0.86502,364.17,9368.77,0.98904,1683.92
"35,044","36,845",5.1,75581.7,0.88556,34.17,9022.33,0.99962,637.58,14205.2,0.85843,326.33,9304.29,0.98193,2123.75
"33,141","35,878",8.3,76547.02,0.95038,102.17,7939.24,0.87459,1043.83,14308.76,0.8706,411.33,10005.07,1.0892,3631.17
"41,418","43,673",5.4,57888.72,0.90562,57.25,10151.45,0.96656,970.92,18826.57,0.95031,237.75,10715.56,1.05514,4790.75
"57,963","60,598",4.5,77604.87,0.99373,115.42,10449.65,0.94583,1370.42,17397.84,0.98174,325.75,10591.16,0.98898,12488.58
"32,079","35,200",9.7,72404,0.92103,34,7350.1,0.81035,550.67,14528.23,0.8253,341.83,9674.03,0.94136,837.92
"35,072","37,554",7.1,85506.1,0.92898,122.67,8293.19,0.89976,1697.58,16731.59,0.91688,524.67,11058.26,1.06747,5219.08
"42,151","44,772",6.2,69707.15,0.94998,83.83,7777.8,0.85605,1038.83,16989.45,0.97,402.67,9921.62,1.06869,3717.33
"37,898","40,463",6.8,77951.17,0.97425,186.67,9534.05,0.90194,3548.58,15284.43,0.96872,1171.08,10200.43,1.05109,10354.25
"41,267","43,568",5.6,79450.53,1.0624,45.25,8899.04,0.85608,1383.58,15975.49,0.97543,437.08,10791.99,1.15087,4612.92
"33,078","36,742",11.1,70433.94,0.92993,37.58,6898.21,0.73174,604.08,12809.07,0.79493,354.42,9413.54,0.91307,738.25
"35,599","38,472",8.1,70150.26,0.92867,14.58,9968.7,0.9011,598.42,15863.71,0.88413,406.83,10254.97,1.01047,2125.17
"36,803","42,196",14.7,78486.61,0.91875,180,12602.06,0.90549,1046.83,15489.81,0.78864,1705.33,10727.52,0.8673,4191.67
